age,income,loan_amount,credit_score,employment_years,default
59,45426,34535,532,19,1
49,37772,17869,382,15,0
35,123754,12166,424,13,0
63,23712,17982,474,13,0
28,21367,45697,368,26,1
41,126493,43115,346,0,1
59,127317,12269,555,2,0
39,135142,33064,329,25,1
43,111736,18527,580,6,0
31,71924,7454,536,25,0
31,23726,25878,547,14,0
44,109152,17991,667,18,0
56,47723,7808,794,19,0
60,146969,44410,324,1,1
44,123110,41593,789,18,0
23,120494,41304,793,8,0
42,29108,35386,613,18,0
22,97714,8802,674,26,0
44,55643,33753,324,4,1
64,51324,26083,633,17,0
50,123896,23354,654,15,0
58,103360,27190,415,3,0
22,130896,11142,347,11,0
41,28927,33398,398,28,1
53,113680,46862,758,6,0
32,116546,38132,822,13,0
42,42443,24503,704,22,0
64,99973,39631,513,11,1
45,83449,21499,802,2,0
47,129834,44852,747,4,0
62,125314,13016,557,16,0
48,96743,7384,420,25,0
36,141805,20072,353,9,0
35,80233,41703,630,9,0
64,45537,19482,540,10,0
23,121293,45510,829,16,0
57,97576,26826,782,4,0
27,127522,7490,486,12,0
41,42612,30518,561,9,1
29,113977,29045,663,8,0
59,26471,31910,790,16,0
38,55631,29566,730,0,0
24,148449,38905,538,3,1
45,128997,32103,603,3,0
34,112059,41188,597,17,1
29,51348,10845,375,8,0
46,84732,26162,632,29,0
22,21177,41674,773,24,0
40,24760,24337,582,28,0
48,52779,27313,371,28,0
27,41636,31943,562,17,1
64,101889,17413,311,13,0
28,73551,5276,440,24,0
55,31556,22611,316,14,0
34,47598,44105,362,5,1
37,31563,16944,552,23,0
56,66819,20906,764,9,0
60,129326,25536,675,28,0
24,93770,32810,819,14,0
22,111055,17306,389,28,0
26,46966,15503,474,3,0
62,140133,24225,375,17,0
24,101709,41976,699,17,0
49,79889,16590,370,24,0
38,46987,15886,479,16,0
46,98714,17866,423,11,0
64,124874,6088,680,6,0
54,78348,8363,592,15,0
30,44596,37792,494,10,1
56,53174,14764,527,13,0
34,84106,25620,730,2,0
51,127510,47727,735,18,0
35,89967,17935,760,17,0
28,79182,13068,320,29,0
34,113300,12295,363,9,0
43,107163,46160,464,5,1
60,59310,16390,326,12,0
41,76088,46216,610,9,0
36,148803,25131,584,17,0
38,28906,34218,580,25,1
44,56914,15433,463,19,0
46,130350,20038,523,25,0
45,65379,33182,445,15,1
61,98612,16528,329,24,0
49,134828,26281,344,24,0
35,147445,13605,770,5,0
21,57650,39782,333,12,1
45,66881,6381,726,3,0
27,66413,6098,520,22,0
29,26012,24810,833,13,0
44,70115,29322,666,0,0
21,27151,46869,849,27,0
64,77716,37955,415,19,1
28,113747,49716,538,4,1
44,112653,15207,634,7,0
31,56378,26793,740,11,0
37,62652,7092,447,1,0
28,92430,33220,308,11,1
55,33467,23514,587,4,0
55,51010,43010,687,21,0
53,148647,13549,349,4,0
25,141999,27031,816,12,0
62,134793,10185,577,8,0
59,74691,20271,599,9,0
61,84157,10776,434,0,0
48,128177,17449,446,29,0
27,32289,29297,789,2,0
29,64976,45591,777,29,0
28,63596,20717,458,17,0
32,43171,45123,683,11,0
54,120441,44233,462,28,1
53,146296,15350,740,2,0
43,106365,35622,488,25,1
44,138218,40323,714,24,0
57,119590,7951,638,28,0
55,134014,22622,480,29,0
64,64139,9727,587,8,0
60,68713,43454,486,25,1
42,49734,41469,437,1,1
47,92588,40548,429,29,1
55,83646,28782,493,2,0
21,23654,33454,615,13,0
55,109022,7368,443,3,0
57,38743,20592,315,24,0
34,68368,27173,601,18,0
23,110025,38204,722,12,0
21,94172,40596,544,6,1
25,26441,39324,406,11,1
46,139735,28864,387,2,0
34,44611,35750,428,22,1
59,139891,15576,640,22,0
47,127971,21566,303,8,0
29,32149,12190,626,1,0
35,120102,28071,709,28,0
35,79189,43333,605,21,0
46,127904,20369,524,8,0
62,41675,29035,647,11,0
33,91031,6589,620,11,0
52,62668,30235,480,14,1
59,33673,5159,685,1,0
52,149582,17145,407,17,0
24,96666,20373,830,12,0
50,108204,36921,709,13,0
57,100758,44323,595,4,1
43,85429,21237,470,25,0
59,43669,46971,630,9,0
35,54068,13244,792,11,0
63,108789,19743,494,9,0
49,29435,36566,311,23,1
56,114088,23691,494,10,0
33,72249,38996,789,24,0
52,57384,10590,481,1,0
27,148782,10585,615,4,0
42,101929,14227,329,29,0
48,147959,33278,395,6,1
22,96153,43814,680,5,0
62,124056,17237,743,21,0
26,95388,20649,597,22,0
48,51401,42713,660,2,0
48,145511,12927,673,12,0
64,91831,12016,602,2,0
64,139503,19027,720,25,0
40,135760,29142,545,24,0
50,121529,28545,536,29,0
31,147834,36897,833,23,0
48,54084,8167,484,20,0
45,140387,49757,767,5,0
59,130641,31917,662,10,0
53,125111,27736,582,27,0
21,75826,32990,635,25,0
47,56451,19087,461,16,0
33,27227,27440,459,9,0
61,51910,40205,773,11,0
23,56041,20275,621,16,0
59,108920,10276,311,3,0
26,85681,46627,723,1,0
28,123314,45586,372,10,1
47,101571,42496,500,6,1
29,85481,24008,821,1,0
57,88576,10738,804,25,0
53,127958,37402,338,17,1
62,149265,10793,359,20,0
64,147556,42291,620,3,0
44,84174,10571,734,7,0
35,46160,36331,707,19,0
52,135170,21209,685,13,0
52,137867,30394,377,11,1
44,37633,48148,493,21,1
61,114880,30682,584,20,1
32,37014,7224,826,26,0
59,100532,46157,823,29,0
22,69104,49452,455,17,1
23,61621,48408,639,10,0
57,97231,37441,424,28,1
37,88388,46430,579,27,1
22,36014,44129,427,29,1
22,112578,39716,613,7,0
48,53755,49859,631,1,0
43,60390,31586,449,24,1
57,43711,49760,753,14,0
52,111658,28478,335,8,0
53,77993,11318,719,18,0
21,94696,33694,321,19,1
39,47213,25180,505,7,0
22,135788,17180,655,24,0
64,124956,38002,739,18,0
46,77784,20372,395,4,0
52,27421,34796,463,10,1
26,106936,29427,447,14,0
52,119073,38290,829,7,0
24,37727,33099,593,18,1
31,132418,14821,494,22,0
37,24358,10832,779,26,0
58,85108,17820,422,7,0
44,146609,21211,699,25,0
25,114018,44890,751,26,0
54,144457,10842,403,29,0
26,52117,6316,761,18,0
42,108700,22508,695,17,0
31,51910,27005,636,9,0
36,146888,20206,441,28,0
53,118032,23971,616,6,0
29,75754,30599,826,27,0
26,82438,27056,700,8,0
36,129847,6378,609,0,0
49,49371,6519,794,18,0
23,71501,27161,408,4,0
40,80946,45703,671,18,0
56,58467,43861,505,0,1
39,37625,10355,342,14,0
46,53893,14083,544,15,0
23,96329,43342,586,22,1
39,51007,25456,654,6,0
40,111302,18324,775,25,0
52,59532,7257,382,11,0
27,74253,32364,409,7,1
61,32323,29972,489,4,0
53,131335,31654,550,9,1
60,132356,20233,590,27,0
59,130944,20887,500,20,0
38,93379,34320,625,4,0
60,34210,25808,810,16,0
21,36456,35154,708,25,0
31,51367,39773,807,4,0
48,74624,32747,371,21,1
45,30106,15860,546,14,0
43,123493,47838,643,12,0
51,88008,47156,353,27,1
50,145926,23156,827,0,0
62,135395,25360,831,10,0
55,136492,23135,492,22,0
27,92240,30351,357,0,1
36,84315,35499,736,10,0
46,89249,28554,410,17,0
22,90587,24604,428,17,0
21,30756,21923,625,20,0
32,88011,13547,307,29,0
25,56378,49283,328,25,1
57,24255,38002,411,15,1
52,34484,19562,430,12,0
29,145703,12480,487,6,0
61,76549,31672,774,0,0
55,54503,9213,663,25,0
39,144465,15293,503,15,0
36,93794,39441,511,0,1
23,145941,7100,575,16,0
40,126283,49617,372,5,1
44,120732,33172,542,1,1
53,65113,25132,401,16,0
44,125730,23199,470,5,0
31,94069,41609,487,13,1
28,118117,47965,740,17,0
56,25249,13016,385,5,0
58,145654,44779,775,9,0
60,139979,42261,351,23,1
40,39201,36881,410,17,1
55,145541,22058,342,26,0
45,78576,29472,510,8,0
55,138562,46346,499,7,1
45,145281,39926,325,27,1
49,29686,39832,598,9,1
38,132413,41021,376,16,1
38,73363,29087,436,22,0
22,117543,17828,319,29,0
55,20661,36128,739,28,0
36,64843,6401,510,25,0
61,115673,24643,734,5,0
56,80963,20193,506,13,0
53,133092,31853,738,21,0
24,62828,49864,341,21,1
53,68604,25307,710,5,0
34,30526,41982,822,25,0
41,88910,24611,726,6,0
40,45592,48791,574,11,1
28,48982,16950,747,2,0
27,20207,15704,668,13,0
23,120969,48111,519,21,1
37,137181,16867,531,18,0
53,108733,7745,627,22,0
32,118936,8866,742,15,0
42,144982,37245,351,6,1
42,145839,49724,675,7,0
50,88619,10818,562,17,0
58,49328,35116,566,24,1
58,66479,20493,658,12,0
28,128427,33038,616,20,0
47,40103,25447,623,8,0
47,59891,35431,720,9,0
54,30754,22908,345,20,0
41,119983,34336,568,22,1
50,101437,45992,680,26,0
53,118540,9025,417,8,0
48,92982,25093,415,14,0
53,122747,11155,559,19,0
25,75922,38487,374,1,1
39,68231,25963,779,24,0
24,49301,25936,604,12,0
55,111652,9426,306,1,0
37,140787,28303,665,18,0
64,146823,32606,822,25,0
48,82711,33151,647,1,0
50,61323,18767,737,2,0
49,38752,16308,514,5,0
26,117912,49245,728,2,0
55,102205,29770,797,9,0
61,118452,33572,839,23,0
